"id","diversity","pop_density","temperature","precipitation","density","devil"
"EHI01272",1,0.0128326183184981,8.27916622161865,796,52.5,0.248944158355395
"EHI02760",1.03306876802907,0,9.34166622161865,1564,79.857,0.210193639000257
"EHI01342",1.64387664886993,0.000873716780915856,17.3958340023936,254.999992013311,23.9432,0
"EHI02846",3.19828646299172,0.104520842432976,11.8458337783813,599,52.50525,0.156215300162633
"EHI01253",2.9990132680929,0.0269408524036407,9.625,671,57.835,0.364457716544469
"EHI02796",1,5.58717060089111,12.4958333969116,991,80,0.282514125108719
"EHI01254",1,0.0128326183184981,8.27916622161865,796,52.5,0.248944158355395
"EHI02826",1,0.128587946295738,12.7416667938232,713,52.5,0.148132105668386
"EHI02824",1,0.128587946295738,12.7416667938232,713,52.5,0.148132105668386
"EHI02823",1.37375453682694,0.55249696969986,12.2833332304927,1011.50002415741,77.3435,0.116369560360909
"EHI02840",1,1.11433017253876,11.8208332197834,1377.49999740673,80,0.469344665606817
"EHI01258",2.9990132680929,0.0269408524036407,9.625,671,57.835,0.364457716544469
"EHI02773",1,5.58717060089111,12.4958333969116,991,80,0.282514125108719
"EHI02817",4.35042304196547,1.84072971343994,10.8208331913313,1141.00000080453,72.88325,0.369677931070328
"EHI02772",1,0.128587946295738,12.7416667938232,713,52.5,0.148132105668386
"EHI02806",4.35042304196547,1.84072971343994,10.8208331913313,1141.00000080453,72.88325,0.369677931070328
"EHI02831",5.4560513961331,19.042516708374,10.4458332061768,895,62.07575,0.19277235865593
"EHI01266",1.80979307335317,0.0225055608898401,16.0791664123535,484,12.6914,0
"EHI01339",2.9990132680929,0.0269408524036407,9.625,671,57.835,0.364457716544469
"EHI02801",1,5.58717060089111,12.4958333969116,991,80,0.282514125108719
"EHI02812",1.31275107546275,0.472273260354996,12.229166318252,1025.0000539991,77.87425,0.119561774035295
"EHI02836",5.21620289094171,3.37257623672485,11.8541664474704,627.00000578401,32.64965,0.109422117471695
"EHI02082",2.38077769044909,0.342087954282761,15.3625001907349,612,23.0882,0
"EHI02841",3.48087690821693,1.56636345386505,13.7,675.3,6.21875,0.147071500619253
"EHI02770",1.60368174569131,1.19077253341675,12.8666667938232,839,57.4665,0.19866093993187
"EHI02792",1.36073257188127,2.24918937683105,11.2395829622769,1113,78.0255,0.386074632406235
"EHI01341",1.80979307335317,0.0225055608898401,16.0791664123535,484,12.6914,0
"EHI02098",2.38077769044909,0.342087954282761,15.3625001907349,612,23.0882,0
"EHI02776",1.31275107546275,0.472273260354996,12.229166318252,1025.0000539991,77.87425,0.119561774035295
"EHI02769",1.67299993022323,0.200083449482918,12.6499996185303,716,74.21125,0.190900057554245
"EHI01389",2.38077769044909,0.342087954282761,15.3625001907349,612,23.0882,0
"EHI02767",4.35042304196547,1.84072971343994,10.8208331913313,1141.00000080453,72.88325,0.369677931070328
"EHI02819",1.79752266543392,3.148766040802,12.8208332061768,1160,77.50875,0.345227360725403
"EHI02064",2.38077769044909,0.342087954282761,15.3625001907349,612,23.0882,0
"EHI02811",1,0.643123865127563,11.3562498174373,1422.99999861554,80,0.226075142621994
"EHI01268",1,0.0128326183184981,8.27916622161865,796,52.5,0.248944158355395
"EHI02804",1.03306876802907,0,9.34166622161865,1564,79.857,0.210193639000257
"EHI02780",1,1.11433017253876,11.8208332197834,1377.49999740673,80,0.469344665606817
"EHI02789",1,1.11433017253876,11.8208332197834,1377.49999740673,80,0.469344665606817
"EHI02835",1.79752266543392,3.148766040802,12.8208332061768,1160,77.50875,0.345227360725403
