"id","hill_q0","hill_q1","hill_q2","pop_density_1km","annual_mean_temp","mean_diurnal_range","isothermality","temp_seasonality","max_temp_warmest_month","min_temp_coldest_month","temp_annual_range","mean_temp_wettest_quarter","mean_temp_driest_quarter","mean_temp_warmest_quarter","mean_temp_coldest_quarter","annual_precipitation"
"EHI01272",2,2,2,0.0128326183184981,8.27916622161865,9.92500019073486,50.1262626647949,359.231872558594,19.3999996185303,-0.400000005960464,19.7999992370605,4.45000028610229,12.6499996185303,12.6666669845581,3.85000014305115,796
"EHI02760",3,2.23942203380941,2.11894913811161,0,9.34008902328575,9.01717519014136,49.5449211325568,331.011740063363,19.5987793194369,1.39877891849213,18.2000007629395,5.71503862350862,13.3652422253332,13.3652422253332,5.23170550687683,1564.42737008121
"EHI01342",3,2.51895352519508,2.33480591488056,0.00085040315752849,17.3958340190733,12.4166666598311,43.3383574721247,609.573880858756,32.3500002315926,3.70000022822183,28.6500001225819,24.2250004064483,12.2749972227884,24.825000787918,9.77500017030455,254.999988010107
"EHI02846",23,11.3391686710725,6.69052908525545,0.104520842432976,11.8458337783813,11.3583335876465,51.6287879943848,372.720092773438,24,2,22,8,14.8833332061768,16.4333343505859,7.26666641235352,599
"EHI01253",17,6.86335313522137,3.92078815997255,0.0269408505409956,9.62228455774485,11.3310399826814,52.4655217662145,362.852734996628,21.8956549219712,0.298551775922034,21.5971038986817,7.36401169380856,14.0471037217583,14.0971038986817,5.16425278357383,671.376541326047
"EHI02796",3,2.02456059194598,2.00739989831917,5.45305967330933,12.4985696798654,8.50709746353285,48.8943188541201,319.696473462796,21.9010588293969,4.50211841163183,17.3989404076637,8.58598104260841,16.4858050729343,16.4858050729343,8.58598104260841,990.745790361747
"EHI01254",2,2,2,0.0128326183184981,8.27916622161865,9.92500019073486,50.1262626647949,359.231872558594,19.3999996185303,-0.400000005960464,19.7999992370605,4.45000028610229,12.6499996185303,12.6666669845581,3.85000014305115,796
"EHI02826",6,2.08302468753312,2.02467806416901,0.128587946295738,12.7416667938232,9.01666641235352,52.4224815368652,293.442199707031,21.3999996185303,4.19999980926514,17.2000007629395,15.1499996185303,15.3333330154419,16.3333339691162,9.06666660308838,713
"EHI02824",6,2.08302468753312,2.02467806416901,0.128587946295738,12.7416667938232,9.01666641235352,52.4224815368652,293.442199707031,21.3999996185303,4.19999980926514,17.2000007629395,15.1499996185303,15.3333330154419,16.3333339691162,9.06666660308838,713
"EHI02823",3,2.58808521782976,2.39979235076747,0.52218770980835,12.2826300560084,8.72555370629178,49.1577837762639,320.972451449548,21.3494878452383,3.59948852634099,17.7499988444986,8.75765126946722,16.2075657865076,16.2075657865076,8.25765133999282,1011.68413028882
